City,State,Employment,Employment per 1000 jobs,Location quotient,Hourly mean wage,Annual mean wage,Expected State Tax Bracket,Expected Federal Tax Bracket,Federal + State Tax for Bracket,Net Expected Profit,Net Expected Monthly Profit,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-Range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),"Domestic Beer (0.5 liter draught, in restaurants)","Imported Beer (0.33 liter bottle, in restaurants)","Cappuccino (regular, in restaurants)","Coke/Pepsi (0.33 liter bottle, in restaurants)","Water (0.33 liter bottle, in restaurants)","Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),"Rice (white), (1kg)",Eggs (regular) (12),Local Cheese (1kg),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apples (1kg),Banana (1kg),Oranges (1kg),Tomato (1kg),Potato (1kg),Onion (1kg),Lettuce (1 head),"Water (1.5 liter bottle, at the market)","Bottle of Wine (Mid-Range, at the market)","Domestic Beer (0.5 liter bottle, at the market)","Imported Beer (0.33 liter bottle, at the market)",Cigarettes 20 Pack (Marlboro),One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Gasoline (1 liter),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car) ,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child ","International Primary School, Yearly for 1 Child",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, …)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",data_quality
Pinehurst,North Carolina,"5,350",1.15,1.07,$57.67 ,"$119,960.00 ",4.46,16.27,20.73,"$95,092 ","$7,924 ",$15.00,$65.00,$8.00,$5.00,$6.00,$4.50,$2.00,$1.50,$0.93,$3.28,$6.61,$2.50,$13.23,$9.92,,$3.85,$1.26,$8.80,$3.41,$3.52,$3.28,$1.41,$1.99,$11.00,,$2.50,$8.50,,,,,,$1.45,,"$17,500.00",$154.55,,$94.75,$62.50,,$12.00,,,$47.67,$40.00,$86.33,$100.00,"$1,400.00","$1,500.00","$1,850.00","$1,850.00","$1,560.77","$1,560.77",,4.71,0
Pearl City,Hawaii,90,0.16,0.14,$49.74,"$103,470.00",7.26,15.04,22.30,"$80,396 ","$6,700 ",,,$10.00,,$7.00,$5.25,,$1.44,$2.38,$4.41,$7.33,,$12.13,,$26.46,$5.91,$3.84,$7.02,$5.94,$4.95,$4.44,$2.74,$2.08,$10.00,,$3.00,$9.00,,,,,,,,"$21,105.00",$251.16,,$68.12,$60.00,,,,,$47.55,$35.87,$79.29,,"$2,000.00","$1,750.00","$5,000.00","$4,750.00",,,,,0
Tupelo,Mississippi,,,,,,,,,,,$17.00,$60.00,$6.75,$5.99,$6.00,$4.83,$1.89,$1.42,$1.15,$0.97,$5.06,$4.39,$7.72,$10.78,$17.61,$6.22,$1.17,$4.29,$2.80,$1.54,$2.52,$1.75,$1.87,$8.50,$4.29,$4.50,$6.00,,,$5.99,$0.93,$48.00,$1.19,"$23,990.00","$26,990.00",$200.00,,$76.67,,,$10.95,$346.40,"$8,400.00",$37.50,$35.00,$85.00,$70.00,"$1,400.00","$1,000.00","$1,500.00","$2,800.00",,,,5.25,0
Pine Bluff,Arkansas,,,,,,,,,,,,,,,,,,,$0.91,$1.10,$1.81,$2.07,$8.77,$12.72,$11.18,$5.03,$1.28,$4.28,$6.57,$1.48,$1.94,$1.74,$2.28,,,,,,,,,,$0.97,,,,,,,,,$800.00,,$60.00,$40.00,$70.00,,$650.00,$500.00,"$1,150.00",$700.00,,,"$2,000.00",,0
Hilo,Hawaii,90,0.16,0.14,$49.74,"$103,470.00",7.26,15.04,22.30,"$80,396 ","$6,700 ",$20.00,$75.00,$12.00,$4.00,$8.00,$6.00,$3.50,$2.74,$1.66,$6.57,$4.17,$3.72,$12.98,$9.35,$13.76,$4.93,$3.19,$5.12,$9.24,$3.36,$5.28,$3.20,$2.19,$12.00,,$3.10,$10.00,$2.00,$40.50,$3.25,$1.99,$12.00,$1.45,"$25,922.50","$25,666.67",$144.08,$0.25,$72.25,$40.00,$0.00,$12.00,,"$8,500.00",$52.50,$40.00,$92.25,$100.00,"$1,575.00","$1,400.00","$2,200.00","$1,875.00","$2,906.26","$2,518.76",,5.43,0
Lufkin,Texas,"13,780",1.06,0.98,$49.15 ,"$102,230.00 ",0.00,14.93,14.93,"$86,967 ","$7,247 ",$22.50,$47.50,$8.25,$3.25,$5.00,$4.00,$1.62,$1.25,$1.04,$2.02,$2.58,$4.25,$12.38,$12.70,$17.47,$6.59,$3.12,$2.60,$6.15,$3.31,$2.27,$1.99,$1.64,$15.00,$3.26,$3.99,$8.75,$0.00,$0.00,,,,$1.28,,,$212.74,,$133.33,$40.00,$0.00,$12.55,$500.00,,$35.91,,$60.00,,$855.00,$750.00,"$1,485.00","$1,485.00",,,,6.25,0
Wallingford,Iowa,1970,1.3,1.20,$45.28,"$94,190.00",6.11,14.32,20.43,"$74,947 ","$6,246 ",$28.00,$69.50,$8.50,$5.75,$7.25,$4.44,$2.58,$1.42,$1.04,$2.89,$4.08,$1.99,$17.64,$9.58,$16.07,$4.39,$1.59,$3.28,$4.40,$1.98,$3.66,$2.87,$1.75,$15.00,$2.06,$3.00,$12.00,$1.50,,$2.00,,$13.00,$0.91,,"$27,000.00",$236.29,,$89.37,,,$13.75,,"$4,200.00",$36.66,$39.00,$79.00,$130.00,,,"$3,200.00","$1,800.00",,,,,0
Webster,Texas,"13,780",1.06,0.98,$49.15 ,"$102,230.00 ",0.00,14.93,14.93,"$86,967 ","$7,247 ",$15.00,$40.00,$9.00,$4.00,$6.00,$4.00,$2.00,$1.39,$0.98,$3.31,$4.41,$3.07,$15.90,$6.59,$17.64,$3.88,$1.43,$5.14,$5.00,$3.19,$2.62,$1.67,$1.57,$11.50,$2.06,$4.04,$8.50,,,$2.75,$1.52,$23.50,$1.23,"$24,195.00","$23,550.67",$150.75,$0.12,$66.22,$20.00,,$11.00,$500.00,"$11,000.00",$45.00,$31.62,$70.18,$91.67,,,,,"$1,076.39","$1,049.48",,5.29,0
Prescott,Arizona,"2,860",0.94,0.87,$50.10 ,"$104,220.00 ",3.01,15.10,18.11,"$85,346 ","$7,112 ",$15.00,$55.00,$10.29,$4.50,$6.00,$4.14,$1.95,$1.16,$0.86,$3.05,$3.72,$4.12,$10.54,$11.54,$16.48,$3.93,$1.40,$3.86,$3.83,$2.54,$2.17,$1.54,$1.72,$11.00,$2.46,$3.40,$9.00,,,$2.75,$1.40,$35.00,$1.11,"$23,195.00","$24,333.00",$213.00,$0.05,$69.67,,$40.00,$10.00,$750.00,"$8,600.00",$46.25,$29.62,$88.00,$94.13,"$1,199.33","$1,100.00","$2,650.00","$2,233.33","$1,846.38","$3,189.71","$3,016.67",5.2,0
Lombard,Illinois,"6,350",1.08,1.00,$52.82 ,"$109,870.00 ",4.84,15.56,20.40,"$87,457 ","$7,288 ",,$40.00,$8.50,$5.00,$7.00,$4.83,,$1.75,,,$4.41,,$17.64,,,,$1.52,$6.61,,,,,,$12.00,,,,,,,,,,,,$200.00,,$25.00,,,,,,,,,,"$1,500.00",,"$4,000.00","$2,500.00",,,,,0
Eureka,California,"29,420",1.67,1.55,$70.86 ,"$147,390.00 ",6.95,17.71,24.66,"$111,044 ","$9,254 ",$12.50,$50.00,$9.50,$6.50,$5.00,$4.50,$1.79,$0.92,$1.28,$4.51,$4.00,$3.37,$9.63,$12.49,$18.46,$4.93,$1.76,$4.73,$6.11,$3.28,$2.88,$1.73,$1.30,$12.00,$2.53,$2.80,$10.00,$2.50,$20.00,$4.50,$1.40,$30.00,$1.62,"$20,444.00","$26,250.00",$206.67,$0.15,$72.50,$40.00,$5.00,$12.00,$400.00,"$6,000.00",$41.67,$30.00,$63.33,$80.00,"$1,075.00","$1,033.33","$1,933.33","$1,766.67","$2,152.78","$2,152.78","$2,766.67",5.5,0
Sayreville,New Jersey,3030,0.74,0.68,$62.49,"$129,980.00",4.69,16.87,21.56,"$101,956 ","$8,496 ",$30.00,$60.00,$9.32,$6.00,$8.00,$4.83,$2.00,$2.00,,,$3.96,,$14.32,,,$4.07,$2.41,$2.20,$3.85,$4.39,$2.84,$1.49,$3.50,$15.00,$1.43,$1.67,$8.95,,,,,,,"$21,000.00","$20,500.00",$150.00,,$117.50,$50.00,,$14.75,,,$49.00,$48.00,$62.50,$92.50,,,,,"$3,229.17","$2,690.98",,,0
Desert Hot Springs,California,"29,420",1.67,1.55,$70.86 ,"$147,390.00 ",6.95,17.71,24.66,"$111,044 ","$9,254 ",$20.00,$75.00,$4.88,$5.00,$7.00,$4.33,$2.10,$1.75,$1.17,$4.13,$2.20,$4.16,$6.61,$16.52,$20.93,$2.20,$1.97,$1.30,$2.20,$2.18,$2.18,$0.99,$1.40,$5.00,$1.70,$2.27,$9.25,$1.00,$34.00,$2.85,$1.55,$24.49,$1.58,"$20,000.00","$22,000.00",$150.00,$0.20,$56.00,,$10.00,$12.00,"$1,000.00","$6,000.00",$63.75,$43.75,$76.67,$110.00,$800.00,$600.00,"$1,900.00","$1,500.00",,,,5,0
Peachtree Corners,Georgia,"5,650",1.23,1.14,$51.15 ,"$106,400.00 ",5.19,15.29,20.48,"$84,609 ","$7,051 ",,$50.00,$8.00,$12.00,$8.50,$5.50,,$1.75,$0.86,$2.76,,$3.50,,$13.23,,$8.82,,,,,,,,,,,,,,,,,,,,$152.49,,$79.00,$50.00,,,,,$45.00,$30.00,$72.00,$70.00,"$1,400.00","$1,100.00","$1,800.00","$1,500.00",,,,,0
Goose Creek,South Carolina,1180,0.55,0.51,$48.34,"$100,550.00",5.56,14.81,20.37,"$80,068 ","$6,672 ",$20.00,$60.00,$8.00,$4.00,$6.00,$4.32,$1.90,$1.54,$0.84,$2.77,$2.65,$3.06,$8.82,$16.03,$17.96,$2.87,$1.19,$2.65,$2.87,$2.76,$2.20,$1.64,$2.19,$12.75,$2.92,$3.50,$7.00,,,$3.50,$0.93,$25.00,$1.08,"$23,000.00","$21,429.17",$166.81,$0.25,$60.00,,,$13.12,$850.00,"$18,000.00",$41.00,$40.20,$102.83,$120.00,,,,,,,,5.43,0
Westfield,Indiana,"2,200",0.71,0.66,$37.93 ,"$78,890.00 ",3.19,12.83,16.02,"$66,252 ","$5,521 ",,$35.00,$8.50,,$15.00,$3.90,,$1.50,$0.92,$2.85,$2.18,$3.49,$13.87,$18.73,$8.82,$3.63,$1.41,$4.96,$5.49,$3.51,$3.63,$2.09,$1.50,$20.00,$1.79,$1.50,$10.00,,,,,$25.00,,"$20,000.00","$25,000.00",$216.12,$0.02,$70.50,$10.00,,$13.00,,,$30.00,$25.00,$72.50,$55.00,"$1,700.00",,"$2,150.00","$1,500.00",,,"$3,730.00",,0
Adrian,Michigan,"3,900",0.92,0.85,$44.62 ,"$92,820.00 ",4.02,14.21,18.23,"$75,899 ","$6,325 ",$17.50,$45.00,$7.00,$3.75,$3.62,$3.86,$2.25,$1.35,$0.66,$2.36,$1.39,$2.66,$6.81,$9.83,$15.08,$2.83,$0.97,$3.73,$3.70,$3.15,$1.96,$1.64,$1.40,$18.00,$1.36,$1.25,$7.97,$2.00,$20.00,,$1.24,$60.00,$1.16,,"$22,163.00",$175.00,,$54.50,,,$14.99,,,$40.00,$25.00,$71.67,$58.33,$750.00,$600.00,"$1,400.00","$1,000.00",,,,3,0
Brea,California,"29,420",1.67,1.55,$70.86 ,"$147,390.00 ",6.95,17.71,24.66,"$111,044 ","$9,254 ",$20.00,$100.00,$8.00,$5.50,$8.00,$5.00,$2.67,$1.68,$1.06,$3.37,$5.70,$3.50,$13.87,$10.28,$15.98,$4.96,$1.64,$4.29,$5.68,$2.64,$2.42,$1.81,$1.75,$10.50,$2.86,$2.88,$9.69,,,$3.50,$1.71,$20.75,$1.68,"$22,500.00","$24,000.00",$166.85,$0.03,$57.70,$50.00,$35.00,$14.50,"$1,166.67","$20,608.75",$52.75,$33.33,$80.00,$132.50,"$1,500.00","$1,300.00","$3,000.00","$2,500.00",,,,5.19,0
Klamath Falls,Oregon,"1,610",0.85,0.79,$53.40 ,"$111,090.00 ",8.31,15.65,23.96,"$84,473 ","$7,039 ",$23.00,,$7.75,$3.00,$6.00,$3.83,,$1.33,$1.19,$6.61,$2.43,$6.50,$20.39,,,$2.76,$1.68,$2.18,$3.51,$1.41,$1.48,$1.83,$1.20,$10.00,$1.71,$2.45,$6.75,,,$5.00,$0.62,$20.00,$1.40,"$20,500.00","$20,000.00",$257.50,$0.10,$51.33,$25.00,,$8.50,$475.00,,$45.00,$40.00,$71.67,$89.00,,,"$1,200.00","$2,000.00",,,,5.43,0
Stevens Point,Wisconsin,"2,740",0.97,0.90,$43.63 ,"$90,760.00 ",4.23,14.03,18.26,"$74,187 ","$6,182 ",$13.50,$55.00,$9.50,$4.00,$5.00,$4.58,$2.50,$1.58,$0.82,$2.94,$7.72,$3.17,$9.92,$11.02,$12.13,$5.36,$2.34,$4.55,$7.17,$1.92,$4.41,$2.73,$1.75,$10.00,$1.61,$1.75,$9.00,$1.30,$25.00,$10.00,$3.11,,$1.11,"$26,000.00","$30,666.67",$177.74,$0.25,$94.67,$36.67,$30.00,$12.00,$800.00,,$46.67,$38.33,$78.33,$100.00,$966.67,$766.67,"$1,833.33","$1,533.33",$807.29,$807.29,,4.17,0
Egg Harbor,Wisconsin,"2,740",0.97,0.90,$43.63 ,"$90,760.00 ",4.23,14.03,18.26,"$74,187 ","$6,182 ",$6.00,$55.00,$11.00,,,$4.50,$2.00,$1.50,$1.07,$3.19,$2.03,$3.00,$14.33,$19.84,$8.82,,,,,$2.20,,$1.00,,$10.00,,,$8.00,,,,,,$0.95,"$32,000.00","$20,500.00",$225.00,,$65.00,$50.00,,$10.00,"$2,500.00",,$35.00,$51.67,$61.67,$100.00,"$1,500.00","$1,200.00","$2,400.00","$2,450.00","$1,076.39","$1,668.41",,,0
Hutchinson,Kansas,430,0.31,0.29,$45.63,"$94,920.00",4.87,14.38,19.25,"$76,648 ","$6,387 ",,$60.00,$9.35,$4.00,$5.00,$4.50,,$1.69,$0.79,$2.63,$4.14,,$7.67,,,$2.60,$0.99,$2.56,$4.34,$1.50,$1.50,$1.27,$2.08,$25.00,,$5.00,$5.99,,,,,,,,,,,$74.50,$60.00,$15.00,$10.00,,,$44.00,,,,$550.00,$450.00,$900.00,"$1,200.00",,,,,0
Puyallup,Washington,"4,160",1.22,1.13,$67.68 ,"$140,780.00 ",0.00,17.41,17.41,"$116,270 ","$9,689 ",$12.00,$65.00,$10.50,$7.00,$6.00,$5.15,$2.48,$1.92,$1.12,$3.86,$5.13,$2.75,$17.30,$14.85,$17.37,$4.39,$1.65,$3.73,$6.26,$2.18,$3.29,$2.42,$2.00,$9.99,$2.14,$3.31,$10.00,$2.85,,$3.80,$1.68,$30.00,$1.32,"$25,500.00","$24,333.33",$222.43,$0.13,$70.41,$22.00,,$14.00,"$1,528.46","$18,312.50",$53.91,$43.33,$66.00,$101.67,"$1,525.00","$1,650.00","$2,600.00","$2,400.00",,,"$2,900.00",4.45,0
Urbana,Illinois,"6,350",1.08,1.00,$52.82 ,"$109,870.00 ",4.84,15.56,20.40,"$87,457 ","$7,288 ",$15.50,$47.50,$7.50,$4.50,$6.00,$4.33,$1.75,$1.98,$0.92,$2.90,$2.34,$1.80,$10.47,$7.34,$15.41,$4.11,$1.23,$4.88,$3.43,$3.31,$2.78,$1.52,$0.84,$8.00,$1.76,$1.67,$7.31,$1.00,,$3.50,$1.70,$20.00,$1.27,"$22,500.00","$19,333.33",$107.06,$0.10,$50.00,,,$12.00,$900.00,"$5,000.00",$44.25,$22.50,$71.67,$90.00,$550.00,$400.00,"$1,500.00","$1,350.00",,"$1,076.39","$6,083.33",5.43,0
Beverly,Massachusetts,,,,,,,,,,,$18.00,$65.00,$6.79,$5.00,$4.50,$3.20,$2.24,$1.62,$1.06,$2.40,$2.99,$2.96,$7.17,$10.41,$12.18,$3.33,$1.55,$2.93,$4.84,$2.20,$2.26,$1.88,$1.62,$15.00,$2.03,$2.33,$5.83,,,$2.50,$1.43,$37.50,$1.02,"$24,495.00","$24,864.71",$161.45,$0.10,$45.00,,,$9.00,$600.00,"$16,750.00",$25.00,$36.29,$85.00,$132.38,,,,,,,,5.43,0
Hobbs,New Mexico,330,0.4,0.37,$41.87,"$87,090.00",3.85,13.70,17.55,"$71,806 ","$5,984 ",$12.00,$45.00,$7.75,$4.38,$5.62,$6.50,$2.00,$0.99,,,$2.20,,$11.02,,,$11.02,$4.41,$8.82,$6.61,$6.61,$6.61,$2.00,$2.00,$20.00,,,$7.50,,,$6.00,,,,,"$22,000.00",$205.76,$0.25,$60.00,,,$10.00,,,$46.33,$26.33,$110.00,$81.00,,,,,,,,,0
McMinnville,Oregon,"1,610",0.85,0.79,$53.40 ,"$111,090.00 ",8.31,15.65,23.96,"$84,473 ","$7,039 ",$20.00,$45.00,$7.00,$4.75,$6.00,$4.03,$2.12,$1.99,$1.04,$3.69,$5.66,$4.00,$11.15,$6.89,$7.55,$4.95,$2.04,$4.59,$5.28,$3.23,$2.51,$1.76,$1.91,$15.00,$4.07,$4.38,$8.00,$2.50,$35.00,$3.50,,$20.00,$1.32,"$25,557.50","$25,133.33",$204.17,$0.10,$89.00,$37.50,$27.50,$12.25,$787.50,"$16,333.33",$68.33,$41.67,$88.33,$70.00,"$1,450.00","$1,100.00","$1,950.00","$1,600.00","$3,196.88","$2,771.71","$2,333.33",3.8,0
Grove City,Ohio,"3,650",0.68,0.63,$44.27 ,"$92,080.00 ",2.18,14.15,16.33,"$77,043 ","$6,420 ",$30.00,$100.00,$14.00,$3.00,$5.00,$2.00,$2.15,$0.99,$0.92,$2.76,$1.10,,$6.61,,$33.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
North Brunswick,New Jersey,3030,0.74,0.68,$62.49,"$129,980.00",4.69,16.87,21.56,"$101,956 ","$8,496 ",$22.50,$60.00,$6.99,,$3.00,$2.00,$1.50,$1.99,,,$15.43,,$13.23,,$22.05,$6.61,$2.20,$11.02,$13.23,$6.61,,$4.00,$5.00,$8.00,,$2.00,$9.00,,,,,,,,,$100.00,,$97.50,,,$12.50,,,$60.00,,$100.00,$125.00,,,,,,,,,0
Wentzville,Missouri,"4,020",1.43,1.32,$39.35 ,"$81,860.00 ",4.32,13.17,17.49,"$67,543 ","$5,629 ",,$34.00,$5.25,,$4.50,$4.00,,$1.25,,,,,,,,,,,,,,,,,,,$4.00,,,,,,,,,,,$60.00,,,$14.00,,,$35.00,,$65.00,$75.00,,,,,,,,,0
Weslaco,Texas,"13,780",1.06,0.98,$49.15 ,"$102,230.00 ",0.00,14.93,14.93,"$86,967 ","$7,247 ",$10.00,$45.00,$7.00,$6.75,$3.00,$4.50,$1.50,$1.50,$0.91,$2.66,$2.75,$2.24,$7.72,$7.68,$15.38,$4.74,$1.55,$3.87,$2.69,$1.79,$1.97,$1.36,$1.50,$13.50,$1.96,$2.12,$6.42,,,$3.50,$1.01,,$1.03,"$17,000.00","$22,500.00",$197.50,,$73.33,,,$10.00,,,$50.65,$26.66,$75.00,$90.00,$900.00,$800.00,"$1,800.00","$1,500.00","$5,973.97",,,4.88,0
Zanesville,Ohio,"3,650",0.68,0.63,$44.27 ,"$92,080.00 ",2.18,14.15,16.33,"$77,043 ","$6,420 ",$8.00,$54.00,$7.50,$3.50,$3.00,$3.79,$2.36,$1.27,$0.83,$2.68,$2.72,$3.00,$6.06,$12.87,$8.70,$4.10,$1.52,$3.97,$4.50,$3.15,$2.29,$1.79,$1.87,$15.00,$3.57,$4.00,$7.65,,,$8.75,$1.86,$30.00,$0.88,"$29,000.00","$25,278.33",$125.84,$0.40,$67.21,,,$12.00,$900.00,"$8,000.00",$35.00,$29.38,$59.00,$55.00,,,,,,,,5.43,0
Catonsville,Maryland,"2,010",0.76,0.70,$57.19 ,"$118,960.00 ",4.51,16.21,20.72,"$94,311 ","$7,859 ",$35.00,$60.00,$12.00,,,,,$2.00,,,,,,,,,,,,,,,,,,,,,,,$1.24,,,,"$17,000.00",,$0.00,$40.00,$70.00,,,"$1,000.00","$11,000.00",$75.00,,$85.00,$85.00,,,,,,,,,0
Coppell,Texas,"13,780",1.06,0.98,$49.15 ,"$102,230.00 ",0.00,14.93,14.93,"$86,967 ","$7,247 ",,,$7.50,,$4.50,$3.98,,$1.00,,,$6.47,,$8.58,,,$10.03,$2.18,$2.76,$2.18,$1.30,$1.08,$1.29,$1.99,$18.00,,$1.50,$6.50,,,,,,,,,$125.00,,$100.00,,,$10.00,,,$52.00,$19.99,$85.00,$125.00,,,,,"$1,560.77",,,,0
Moline,Illinois,"6,350",1.08,1.00,$52.82 ,"$109,870.00 ",4.84,15.56,20.40,"$87,457 ","$7,288 ",$12.75,$50.00,$7.00,$6.00,$7.00,$1.00,$1.85,$1.40,$1.32,$1.65,$3.67,$2.99,$7.35,$8.80,$11.00,$4.52,$1.84,$2.20,$2.98,$1.53,$1.47,$2.00,$1.38,$12.00,$1.07,$1.05,$9.49,$1.00,,,$2.50,$45.00,$1.19,"$22,529.00","$21,000.00",$125.00,,$72.50,,$30.00,$11.00,"$1,000.00",,$44.00,$35.00,$70.00,$82.50,,,,,,,,5.43,0
Delaware,Ohio,"3,650",0.68,0.63,$44.27 ,"$92,080.00 ",2.18,14.15,16.33,"$77,043 ","$6,420 ",,$70.00,$7.00,,$4.75,$4.47,,$1.62,,$1.65,$4.40,,$10.28,,$9.37,$3.67,$1.34,$4.56,$4.44,$3.96,$2.05,$1.35,$1.66,$8.00,$2.00,$3.00,$6.50,$2.00,$30.00,$3.00,,,$1.11,"$18,800.00","$18,700.00",$246.56,$0.01,$50.00,,,$8.00,"$1,000.00",,$47.50,$32.50,$92.50,$85.00,,,,,,,"$3,750.00",5.43,0
Manassas,Virginia,"4,500",1.16,1.08,$64.41 ,"$133,990.00 ",5.32,17.08,22.40,"$103,976 ","$8,665 ",$18.50,$82.50,$8.25,$5.75,$6.50,$4.62,$1.71,$1.80,$0.89,$2.59,$4.08,$1.93,$8.80,$6.75,$18.44,$4.84,$1.10,$3.96,$4.73,$2.97,$3.84,$1.92,$2.39,$12.00,$2.14,$1.50,$5.39,,$35.00,$4.00,$1.30,$20.00,$1.20,"$29,520.00","$24,333.33",$218.55,$0.05,$65.00,$50.00,,$13.91,$700.00,"$26,000.00",$38.69,$30.00,$72.00,$77.50,"$1,962.00","$1,793.00",,"$2,742.00",,,"$7,650.00",5.43,0
Westerville,Ohio,"3,650",0.68,0.63,$44.27 ,"$92,080.00 ",2.18,14.15,16.33,"$77,043 ","$6,420 ",$28.00,$62.50,$5.50,$5.00,$6.00,$4.43,$1.38,$1.56,$0.80,$2.20,$2.20,$2.34,$8.82,$11.87,$11.02,$3.31,$1.53,$2.20,$3.19,$1.76,$2.18,$1.50,$1.50,$5.00,$2.88,$3.21,$7.98,,,$3.50,$1.84,$22.50,$1.14,"$26,500.00","$23,214.29",$183.48,$0.20,$65.00,,,$12.00,$800.00,"$24,833.33",$22.50,$22.50,$62.00,$85.77,"$1,200.00",,,,,,,5.01,0
Spanish Fork,Utah,"3,070",1.89,1.75,$42.62 ,"$88,660.00 ",4.91,13.84,18.75,"$72,036 ","$6,003 ",$15.00,$95.00,$9.00,$6.00,$7.00,$7.00,$2.00,$1.00,$1.25,$3.27,,,$7.50,,,$3.31,$2.19,$3.31,$3.31,$3.31,$3.31,,$1.50,$9.00,,$2.50,,,,,,,$1.35,"$24,000.00","$20,000.00",$200.00,,$80.00,$13.33,,$10.25,,,$30.00,,$90.00,$80.00,"$1,200.00","$1,200.00","$1,800.00","$1,775.00",,,,,0
Pottsville,Pennsylvania,"6,370",1.1,1.02,$46.12 ,"$95,940.00 ",3.07,14.46,17.53,"$79,122 ","$6,593 ",,$30.00,$5.00,$3.00,$5.00,$3.15,,$1.00,,,$1.96,,$10.46,,,,$0.99,,,,$1.08,$0.99,,$15.00,$4.29,$5.00,$7.25,,,,,,,,,,,,$11.00,,,,,$24.00,$20.00,$60.00,$50.00,,,"$1,600.00",$900.00,,,,,0
Buffalo Grove,Illinois,"6,350",1.08,1.00,$52.82 ,"$109,870.00 ",4.84,15.56,20.40,"$87,457 ","$7,288 ",$15.00,$50.00,$6.88,$4.00,$6.00,$4.25,$2.28,$1.95,$0.80,$2.55,$3.97,$2.75,$8.27,$7.71,$13.83,$3.86,$1.54,$4.41,$3.66,$2.20,$2.19,$1.78,$1.50,$11.00,$2.14,$2.50,$9.00,$6.62,$224.75,$2.75,$1.55,$21.00,$1.06,"$15,000.00","$18,000.00",$175.07,$0.10,$62.50,$75.00,$10.00,$14.00,"$1,341.67","$14,400.00",$32.50,$43.57,$75.00,$105.00,"$1,800.00","$1,400.00","$3,000.00","$2,800.00",,,,5.04,0
Cedar City,Utah,"3,070",1.89,1.75,$42.62 ,"$88,660.00 ",4.91,13.84,18.75,"$72,036 ","$6,003 ",,,$7.50,,$6.00,$4.00,,$1.25,$0.87,$2.41,$2.18,,$9.14,$7.69,$7.69,$3.08,$2.03,$2.84,$3.06,$2.08,$2.41,$1.79,$2.29,$12.00,$1.74,$1.48,$7.48,$1.50,,,,,,"$28,000.00","$24,000.00",$127.18,$0.03,$55.00,$24.00,$15.00,$9.38,$275.00,,$49.00,$79.00,$84.00,$144.50,$800.00,$725.00,"$1,600.00","$1,400.00","$1,722.23","$1,453.13",,2.88,0
Torrington,Connecticut,950,0.58,0.54,$52.99,"$110,220.00",4.34,15.59,19.93,"$88,253 ","$7,354 ",$17.50,$80.00,$9.04,$7.00,$7.00,$4.73,$2.42,$1.72,$1.16,$4.25,$4.42,$4.56,$13.55,$13.08,$16.70,$5.06,$2.76,$3.45,$4.48,$2.65,$2.98,$2.03,$2.00,$13.00,$2.57,$2.83,$11.00,,,$3.50,$1.86,$30.00,$1.56,"$22,800.00","$22,571.43",$200.44,$0.16,$56.83,,,$13.75,"$1,987.50","$22,666.67",$46.17,$37.00,$76.69,$106.25,,,,,,,,5.22,0
Crystal Lake,Illinois,"6,350",1.08,1.00,$52.82 ,"$109,870.00 ",4.84,15.56,20.40,"$87,457 ","$7,288 ",,$50.00,$6.75,,$5.50,$4.25,,$1.31,$0.79,$2.19,$7.53,$2.25,$11.76,,$13.21,$6.61,$1.54,$4.55,$6.31,$1.10,$5.28,$1.50,$2.00,$16.50,$1.14,$2.70,$8.50,,,$4.25,,,$1.18,"$13,000.00","$16,000.00",$134.31,$0.20,$60.40,$30.00,,$11.00,,"$8,750.00",$32.50,$16.00,$67.50,$70.00,,,,,,,,5.43,0
